loan_id,period_no,due_date,payment_total,interest,principal,balance_after,comment
# Кредит 100 000 ₽ под 27% годовых на 12 месяцев, аннуитет. Платёж 9601.74 ₽.
# ДАТЫ НИЖЕ — ПРИМЕР. Поставьте реальные даты платежей из графика банка либо
# перегенерируйте файл командой:
#   python -m cashflow loan-schedule --amount 100000 --rate 27 --months 12 \
#          --first-payment 2025-02-10 --loan-id loan_2025
main,1,2025-02-10,9601.74,2250.00,7351.74,92648.26,
main,2,2025-03-10,9601.74,2084.59,7517.15,85131.11,
main,3,2025-04-10,9601.74,1915.45,7686.29,77444.82,
main,4,2025-05-10,9601.74,1742.51,7859.23,69585.59,
main,5,2025-06-10,9601.74,1565.68,8036.06,61549.53,
main,6,2025-07-10,9601.74,1384.86,8216.88,53332.65,
main,7,2025-08-10,9601.74,1199.98,8401.76,44930.89,
main,8,2025-09-10,9601.74,1010.95,8590.79,36340.10,
main,9,2025-10-10,9601.74,817.65,8784.09,27556.01,
main,10,2025-11-10,9601.74,620.01,8981.73,18574.28,
main,11,2025-12-10,9601.74,417.92,9183.82,9390.46,
main,12,2026-01-10,9601.75,211.29,9390.46,0.00,Последний платёж закрывает остаток
